Head Lines,Sentiment,Stemmed,StopWords Removed,PosRemoval,stemming_posRemoval,PosRemoval_stemming,Stopwords_stemming,Pos_StopWords,StopWords_Pos,Stemming_StopWords,All Features
"RBS warns of higher misconduct charges, obstacles ahead",-1," RBS warns higher misconduct charges , obstacles ahead"," rb warn of higher misconduct charg , obstacl ahead", higher ahead, higher ahead, higher obstacl ahead," rb warn higher misconduct charg , obstacl ahead", warns higher ahead, higher ahead," rb warn higher misconduct charg , obstacl ahead", higher obstacl ahead
"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",1," DBS , Julius Baer emerge potential bidders Barclays Asia wealth unit ..."," db , juliu baer emerg as potenti bidder for barclay asia wealth unit ...", potential, potenti, potenti," db , juliu baer emerg potenti bidder barclay asia wealth unit ...", emerge potential, potential," db , juliu baer emerg potenti bidder barclay asia wealth unit ...", asia
Standard Life slips as Greek worries peg back Britains FTSE,-1, Standard Life slips Greek worries peg back Britains FTSE, standard life slip as greek worri peg back britain ftse, slips Greek peg back, slip greek peg back, standard greek back, standard life slip greek worri peg back britain ftse, slips Greek peg back, slips Greek peg back, standard life slip greek worri peg back britain ftse, standard greek back
Glencore sells agri unit stake for $2.5 billion to Canadian pension fund,1, Glencore sells agri unit stake $ 2.5 billion Canadian pension fund, glencor sell agri unit stake for $ 2.5 billion to canadian pension fund, sells agri, sell agri, sell agri canadian, glencor sell agri unit stake $ 2.5 billion canadian pension fund, sells agri Canadian, sells agri, glencor sell agri unit stake $ 2.5 billion canadian pension fund, sell agri canadian
FCA bans former RBS Libor submitter,0, FCA bans former RBS Libor submitter, fca ban former rb libor submitt, bans former, ban former, fca former, fca ban former rb libor submitt, bans former, bans former, fca ban former rb libor submitt, fca former
AB InBevs Latest Bid Said Unlikely to Win SABMillers Approval,0, AB InBevs Latest Bid Said Unlikely Win SABMillers Approval, AB inbev latest bid said unlik to win sabmil approv,,, inbev latest said unlik win sabmil, AB inbev latest bid said unlik win sabmil approv,,, AB inbev latest bid said unlik win sabmil approv, inbev latest said unlik
Standard Chartered Not Raising Capital Yet As Dividend Cut,0, Standard Chartered Not Raising Capital Yet As Dividend Cut, standard charter not rais capit yet As dividend cut, Not Raising, not rais, standard not rais yet, standard charter rais capit yet As dividend cut, Not Raising, Not Raising, standard charter not rais capit yet As dividend cut, standard not rais yet
"Tesco set to sell Kipa, Giraffe businesses - Sky News",0," Tesco set sell Kipa , Giraffe businesses - Sky News"," tesco set to sell kipa , giraff busi - ski new", set sell, set sell, set sell ski new," tesco set sell kipa , giraff busi - ski new", set, set sell," tesco set sell kipa , giraff busi - ski new", set ski new
United Utilities FY profit up 3.5%; to boost capex,1, United Utilities FY profit 3.5 % ; boost capex, unit util FY profit up 3.5 % ; to boost capex, up boost, up boost, util up boost, unit util FY profit 3.5 % ; boost capex, capex, boost, unit util FY profit 3.5 % ; boost capex, util capex
Sale of Tescos Clubcard business to WPP on the verge of collapse,-1, Sale Tescos Clubcard business WPP verge collapse, sale of tesco clubcard busi to wpp on the verg of collaps,,, tesco wpp, sale tesco clubcard busi wpp verg collaps,,, sale tesco clubcard busi wpp verg collaps,
UKs Osborne may sell state-owned RBS shares at a loss -paper,0, UKs Osborne may sell state-owned RBS shares loss -paper, uk osborn may sell state-own rb share at a loss -paper, sell state-owned, sell state-own, uk sell state-own, uk osborn may sell state-own rb share loss -paper, sell state-owned, sell state-owned, uk osborn may sell state-own rb share loss -paper, uk sell state-own
Tesco Sale Is Asias Biggest Private-Equity Deal,1, Tesco Sale Is Asias Biggest Private-Equity Deal, tesco sale Is asia biggest private-equ deal, Is, Is, tesco Is asia biggest private-equ, tesco sale Is asia biggest private-equ deal, Is, Is, tesco sale Is asia biggest private-equ deal, tesco Is asia biggest private-equ
Industry NewsWolseley confident in reslilience amid mixed markets,0, Industry NewsWolseley confident reslilience amid mixed markets, industri newswolseley confid in reslili amid mix market, mixed, mix, mix, industri newswolseley confid reslili amid mix market, confident mixed, mixed, industri newswolseley confid reslili amid mix market, mix
Japans Nikkei lands Financial Times in $1.3 billion deal,0, Japans Nikkei lands Financial Times $ 1.3 billion deal, japan nikkei land financi time in $ 1.3 billion deal, lands, land, nikkei, japan nikkei land financi time $ 1.3 billion deal, lands, lands, japan nikkei land financi time $ 1.3 billion deal, nikkei
UPDATE: Peter Long To Be Chairman Of Both Royal Mail And TUI AG,0, UPDATE : Peter Long To Be Chairman Of Both Royal Mail And TUI AG, updat : peter long To Be chairman Of both royal mail and tui AG, Be, Be, long royal, updat : peter long To Be chairman Of royal mail tui AG, Be, Be, updat : peter long To Be chairman Of both royal mail and tui AG, long royal
UK regulators license BAT e-cigarette as quit-smoking medicine,1, UK regulators license BAT e-cigarette quit-smoking medicine, UK regul licens bat e-cigarett as quit-smok medicin, UK license quit-smoking, UK licens quit-smok, licens bat e-cigarett quit-smok, UK regul licens bat e-cigarett quit-smok medicin, UK license e-cigarette quit-smoking, UK license quit-smoking, UK regul licens bat e-cigarett quit-smok medicin, licens bat e-cigarett quit-smok
"Aviva, M&G suspend property funds as investors panic",-1," Aviva , M & G suspend property funds investors panic"," aviva , M & G suspend properti fund as investor panic", suspend panic, suspend panic, suspend," aviva , M & G suspend properti fund investor panic", suspend panic, suspend panic," aviva , M & G suspend properti fund investor panic", suspend
British American Tobacco drops and sues PwC over pollution scandal,-1, British American Tobacco drops sues PwC pollution scandal, british american tobacco drop and sue pwc over pollut scandal, British, british, british american, british american tobacco drop sue pwc pollut scandal, British drops, British, british american tobacco drop sue pwc pollut scandal, british american pwc
Aberdeens shares slide as net outflows accelerate,-1, Aberdeens shares slide net outflows accelerate, aberdeen share slide as net outflow acceler, slide net accelerate, slide net acceler, aberdeen net, aberdeen share slide net outflow acceler, slide net accelerate, slide net accelerate, aberdeen share slide net outflow acceler, aberdeen slide net
REFILE-Hikma and Barclays help Britains FTSE to climb higher,1, REFILE-Hikma Barclays help Britains FTSE climb higher, refile-hikma and barclay help britain ftse to climb higher, help climb higher, help climb higher, britain ftse climb higher, refile-hikma barclay help britain ftse climb higher, higher, help climb higher, refile-hikma barclay help britain ftse climb higher, refile-hikma britain ftse higher
"Kraft, Cadburys and Britvic in Total Recall: how pulling a product affects profit",0," Kraft , Cadburys Britvic Total Recall : pulling product affects profit"," kraft , cadburi and britvic in total recal : how pull a product affect profit", pulling affects, pull affect, total recal pull," kraft , cadburi britvic total recal : pull product affect profit", pulling, pulling affects," kraft , cadburi britvic total recal : pull product affect profit", britvic total pull
Standard Chartered share price: Aberdeen CEO would back potential capital increase,0, Standard Chartered share price : Aberdeen CEO would back potential capital increase, standard charter share price : aberdeen ceo would back potenti capit increas, Aberdeen back potential, aberdeen back potenti, standard aberdeen back, standard charter share price : aberdeen ceo would back potenti capit increas, Aberdeen back potential, Aberdeen back potential, standard charter share price : aberdeen ceo would back potenti capit increas, standard aberdeen back
Severn Trent share price jumps as Canadian investor renews pursuit of utility,1, Severn Trent share price jumps Canadian investor renews pursuit utility, severn trent share price jump as canadian investor renew pursuit of util, Canadian renews, canadian renew, severn canadian renew, severn trent share price jump canadian investor renew pursuit util, Canadian renews, Canadian renews, severn trent share price jump canadian investor renew pursuit util, severn canadian renew
France raises concerns over proposed LSE-Deutsche Boerse deal,-1, France raises concerns proposed LSE-Deutsche Boerse deal, franc rais concern over propos lse-deutsch boers deal, raises proposed, rais propos, propos lse-deutsch deal, franc rais concern propos lse-deutsch boers deal, raises proposed, raises proposed, franc rais concern propos lse-deutsch boers deal, lse-deutsch deal
Bunzl blames weakness in United States for first-half revenue slowdown,-1, Bunzl blames weakness United States first-half revenue slowdown, bunzl blame weak in unit state for first-half revenu slowdown, blames first-half, blame first-half, weak first-half, bunzl blame weak unit state first-half revenu slowdown, blames first-half, blames first-half, bunzl blame weak unit state first-half revenu slowdown, blame weak first-half
Tesco criticised for disgraceful advert showing domestic worker being slapped,-1, Tesco criticised disgraceful advert showing domestic worker slapped, tesco criticis for disgrac advert show domest worker be slap, criticised disgraceful advert showing domestic being slapped, criticis disgrac advert show domest be slap, domest be slap, tesco criticis disgrac advert show domest worker slap, criticised disgraceful advert showing domestic slapped, criticised disgraceful advert showing domestic slapped, tesco criticis disgrac advert show domest worker slap, domest
Tushar Morzaria is bookies favourite to be new Barclays chief executive,0, Tushar Morzaria bookies favourite new Barclays chief executive, tushar morzaria is booki favourit to be new barclay chief execut, is favourite be new, is favourit be new, is booki be new, tushar morzaria booki favourit new barclay chief execut, bookies favourite new, favourite new, tushar morzaria booki favourit new barclay chief execut, booki favourit new
CompaniesG4S claims positive start to the year,1, CompaniesG4S claims positive start year, companiesg4 claim posit start to the year, claims positive, claim posit,, companiesg4 claim posit start year, claims positive start, claims positive, companiesg4 claim posit start year, start
